"","CU","Year","Escape","Catch","TS","ER","Age3r","Age4r","Age5r","Age6r","Return","Age3b","Age4b","Age5b","Age6b","TR","Recruit"
"381","HSBI",1973,364729,515990,880719,0.59,"0.03","0.81","0.17","0.00",880719,"54281.81","169122.84","6996.86","0.00","230401.51",230401.343073446
"382","HSBI",1974,205121,67567,272688,0.25,"0.21","0.53","0.25","0.00",272688,"53321.82","283373.16","10221.19","0.00","346916.17",346915.16908809
"383","HSBI",1975,99892,54639,154531,0.35,"0.56","0.40","0.03","0.00",154531,"48291.98","28578.44","3679.06","0.00","80549.48",80548.8723210238
"384","HSBI",1976,178105,188340,366444,0.51,"0.15","0.84","0.01","0.00",366445,"22158.36","355661.07","14678.54","0.00","392497.97",392497.603102254
"385","HSBI",1977,199222,28267,227489,0.12,"0.23","0.74","0.02","0.00",227489,"141701.87","173882.49","26909.66","73.97","342567.99",342568.066722542
"386","HSBI",1978,186322,152340,338661,0.45,"0.14","0.84","0.02","0.00",338662,"30387.97","242154.02","42867.13","408.89","315818.01",315818.469731409
"387","HSBI",1979,54096,6862,60957,0.11,"0.36","0.47","0.17","0.00",60958,"64902.32","90650.46","10493.67","0.00","166046.45",166046.080336637
"388","HSBI",1980,338679,162363,501042,0.32,"0.28","0.71","0.01","0.00",501042,"28427.45","106216.25","16655.64","0.00","151299.34",151299.137006967
"389","HSBI",1981,204347,14602,218949,0.07,"0.14","0.79","0.07","0.00",218949,"113518.20","424648.83","41221.80","30.43","579419.26",579418.65238868
"390","HSBI",1982,196918,137048,333967,0.41,"0.19","0.73","0.08","0.00",333966,"260092.53","373504.46","19232.23","1152.57","653981.79",653981.4202088
"391","HSBI",1983,149391,12628,162018,0.08,"0.18","0.56","0.26","0.00",162019,"52321.74","110336.72","44803.23","598.39","208060.08",208060.084277952
"392","HSBI",1984,212594,18043,230637,0.08,"0.49","0.46","0.05","0.00",230637,"15558.62","258003.16","37037.52","191.76","310791.05",310791.0526978
"393","HSBI",1985,446517,254880,701396,0.36,"0.37","0.61","0.02","0.00",701397,"22010.38","98499.12","15252.85","388.69","136151.04",136151.044256895
"394","HSBI",1986,287483,179565,467048,0.38,"0.11","0.80","0.09","0.00",467048,"18870.97","236134.03","107425.07","1713.91","364143.98",364144.394954109
"395","HSBI",1987,114715,30443,145158,0.21,"0.11","0.76","0.13","0.00",145158,"2921.36","119543.76","36848.59","1293.90","160607.61",160608.062760129
"396","HSBI",1988,136221,188804,325025,0.58,"0.07","0.79","0.14","0.00",325025,"34261.48","397341.10","68010.31","5054.22","504667.11",504667.245444522
"397","HSBI",1989,85568,69438,155006,0.45,"0.12","0.64","0.24","0.00",155006,"16918.40","189180.59","140473.93","2448.20","349021.12",349021.103156945
"398","HSBI",1990,131092,123408,254500,0.48,"0.01","0.93","0.06","0.00",254500,"12040.20","357334.67","40331.62","1773.73","411480.21",411480.000234355
"399","HSBI",1991,166509,95110,261620,0.36,"0.13","0.46","0.41","0.00",261619,"54551.18","110487.19","21781.32","266.00","187085.68",187085.109406003
"400","HSBI",1992,203277,249545,452822,0.55,"0.04","0.88","0.08","0.00",452822,"38851.00","175420.55","17221.46","147.30","231640.31",231640.105495947
"401","HSBI",1993,145280,125245,270525,0.46,"0.04","0.70","0.25","0.00",270525,"61467.40","303016.37","9264.16","171.91","373919.84",373919.836456746
"402","HSBI",1994,303984,253430,557414,0.45,"0.10","0.64","0.25","0.01",557414,"50523.42","157676.42","17507.06","1912.51","227619.42",227619.215278592
"403","HSBI",1995,132126,59992,192117,0.31,"0.20","0.58","0.21","0.01",192118,"23339.12","58317.04","23658.86","0.00","105315.02",105314.349959661
"404","HSBI",1996,201506,58937,260443,0.23,"0.24","0.67","0.08","0.01",260443,"10947.99","335667.24","20321.39","0.00","366936.62",366936.496524066
"405","HSBI",1997,281260,89828,371088,0.24,"0.14","0.82","0.05","0.00",371088,"39647.40","476384.90","106450.17","1222.37","623704.83",623704.961268064
"406","HSBI",1998,108293,82134,190427,0.43,"0.12","0.83","0.05","0.00",190427,"196856.71","572205.76","41702.05","5140.15","815904.66",815905.383899046
"407","HSBI",1999,67294,19650,86943,0.23,"0.13","0.67","0.20","0.00",86944,"168771.07","782235.30","401195.72","7460.12","1359662.21",1359663.25699944
"408","HSBI",2000,325100,75786,400886,0.19,"0.10","0.84","0.06","0.00",400886,"95317.28","1052439.47","67410.94","0.00","1215167.70",1215167.80299386
"409","HSBI",2001,557029,136534,693563,0.2,"0.28","0.69","0.03","0.00",693563,"283734.81","402512.38","3544.45","0.00","689791.64",689791.638190178
"410","HSBI",2002,578131,269296,847428,0.32,"0.20","0.68","0.13","0.00",847427,"71725.56","68468.40","81549.15","691.73","222434.84",222434.840974967
"411","HSBI",2003,664620,255857,920478,0.28,"0.10","0.85","0.05","0.00",920477,"14437.15","733942.36","81114.49","2319.83","831813.83",831813.831843742
"412","HSBI",2004,1253492,483878,1737370,0.28,"0.16","0.61","0.23","0.00",1737370,"34336.48","275460.37","48833.06","0.00","358629.92",358629.919672064
"413","HSBI",2005,312020,237089,549109,0.43,"0.13","0.73","0.12","0.01",549109,"233265.41","846866.08","55293.37","244.40","1135669.26",1135669.25903234
"414","HSBI",2006,48221,38229,86450,0.44,"0.17","0.79","0.04","0.00",86450,"34835.03","148025.87","5749.06","0.00","188609.96",188609.978176208
"415","HSBI",2007,667828,182000,849828,0.21,"0.04","0.86","0.10","0.00",849828,"59886.76","315011.67","302938.97","NA","NA",NA
"416","HSBI",2008,488725,101807,590532,0.17,"0.40","0.47","0.14","0.00",590532,"5791.86","445927.99","NA","NA","NA",NA
"417","HSBI",2009,758515,174339,932854,0.19,"0.04","0.91","0.05","0.00",932854,"140472.58","NA","NA","NA","NA",NA
"418","HSBI",2010,246296,16910,263206,0.06,"0.23","0.56","0.21","0.00",263206,"0.00","NA","NA","NA","NA",NA
"419","HSBI",2011,249421,77376,326798,0.24,"0.02","0.96","0.02","0.00",326797,"0.00","NA","NA","NA","NA",NA
"420","HSBI",2012,994397,181209,1175606,0.15,"0.12","0.38","0.26","0.00",1175606,"0.00","NA","NA","NA","NA",NA
