"","CU_Name","Year","GroupEsc","SumRawEsc"
"364","6 - Georgia Strait","1986",292265.86610998,276482
"365","6 - Georgia Strait","1987",469942.883759013,447881
"366","6 - Georgia Strait","1988",441374.608805909,426820
"367","6 - Georgia Strait","1989",180519.099782385,167017
"368","6 - Georgia Strait","1990",455624.272255965,421691
"369","6 - Georgia Strait","1991",395014.922473637,354285
"370","6 - Georgia Strait","1992",468591.480430129,442948
"371","6 - Georgia Strait","1993",560035.91399288,503861
"372","6 - Georgia Strait","1994",422610.304746032,393569
"373","6 - Georgia Strait","1995",201555.853111695,187102
"374","6 - Georgia Strait","1996",242957.52704993,223293
"375","6 - Georgia Strait","1997",272483.747439936,255778
"376","6 - Georgia Strait","1998",500722.675879647,477761
"377","6 - Georgia Strait","1999",268173.808985818,251095
"378","6 - Georgia Strait","2000",120871.514860765,110186
"379","6 - Georgia Strait","2001",516825.248258028,483630
"380","6 - Georgia Strait","2002",443640.819631065,414795
"381","6 - Georgia Strait","2003",522690.198376377,306844
"382","6 - Georgia Strait","2004",611249.863052182,329211
"383","6 - Georgia Strait","2005",397549.937822883,205535
"384","6 - Georgia Strait","2006",387101.410821718,328668
"385","6 - Georgia Strait","2007",486213.83166152,416575
"386","6 - Georgia Strait","2008",367811.23137715,316461
"387","6 - Georgia Strait","2009",359596.91139646,289850
"388","6 - Georgia Strait","2010",250900.041142268,200930
"389","6 - Georgia Strait","2011",481730.624193432,418163
"390","6 - Georgia Strait","2012",657632.693888594,566363
"391","6 - Georgia Strait","2013",497192.977692565,417459
"392","6 - Georgia Strait","2014",486921.625172356,390919
"393","6 - Georgia Strait","2015",348885.044653872,292846
"394","6 - Georgia Strait","2016",803197.006997804,653877
"395","6 - Georgia Strait","2017",545167.501757399,462995
"396","6 - Georgia Strait","2018",505713.200024835,438737
"397","7 - Howe Sound-Burrard Inlet","1953",39645.4097215144,30750
"398","7 - Howe Sound-Burrard Inlet","1954",96244.8727060505,74650
"399","7 - Howe Sound-Burrard Inlet","1955",41350.0174877626,32000
"400","7 - Howe Sound-Burrard Inlet","1956",20680.5991874599,16000
"401","7 - Howe Sound-Burrard Inlet","1957",111361.699664904,86375
"402","7 - Howe Sound-Burrard Inlet","1958",123061.930338815,95450
"403","7 - Howe Sound-Burrard Inlet","1959",254906.79331139,197650
"404","7 - Howe Sound-Burrard Inlet","1960",84410.0663912496,65450
"405","7 - Howe Sound-Burrard Inlet","1961",49910.917789784,38700
"406","7 - Howe Sound-Burrard Inlet","1962",79477.0105631896,61625
"407","7 - Howe Sound-Burrard Inlet","1963",67547.3984299725,52375
"408","7 - Howe Sound-Burrard Inlet","1964",60260.6623702237,46725
"409","7 - Howe Sound-Burrard Inlet","1965",25510.0619457835,20100
"410","7 - Howe Sound-Burrard Inlet","1966",42770.6013717863,33700
"411","7 - Howe Sound-Burrard Inlet","1967",63553.0523350801,50075
"412","7 - Howe Sound-Burrard Inlet","1968",176920.529116528,139400
"413","7 - Howe Sound-Burrard Inlet","1969",109602.533564891,86300
"414","7 - Howe Sound-Burrard Inlet","1970",181472.727290339,142875
"415","7 - Howe Sound-Burrard Inlet","1971",60386.9230354141,47920
"416","7 - Howe Sound-Burrard Inlet","1972",460874.417910211,365285
"417","7 - Howe Sound-Burrard Inlet","1973",359326.448789836,285622
"418","7 - Howe Sound-Burrard Inlet","1974",202048.271424687,160250
"419","7 - Howe Sound-Burrard Inlet","1975",98399.2674951969,78075
"420","7 - Howe Sound-Burrard Inlet","1976",175408.191057154,138819
"421","7 - Howe Sound-Burrard Inlet","1977",196254.541293444,155830
"422","7 - Howe Sound-Burrard Inlet","1978",183507.796760735,145300
"423","7 - Howe Sound-Burrard Inlet","1979",53299.8205561509,42426
"424","7 - Howe Sound-Burrard Inlet","1980",333950.190013179,270037
"425","7 - Howe Sound-Burrard Inlet","1981",201499.563816114,162997
"426","7 - Howe Sound-Burrard Inlet","1982",194433.796127383,160156
"427","7 - Howe Sound-Burrard Inlet","1983",147445.54713106,120777
"428","7 - Howe Sound-Burrard Inlet","1984",211022.91761604,187417
"429","7 - Howe Sound-Burrard Inlet","1985",444246.112148732,408655
"430","7 - Howe Sound-Burrard Inlet","1986",284853.224865681,251078
"431","7 - Howe Sound-Burrard Inlet","1987",113820.932239291,100626
"432","7 - Howe Sound-Burrard Inlet","1988",135583.603594756,125512
"433","7 - Howe Sound-Burrard Inlet","1989",85086.1331195135,77611
