"stk","alpha","beta","sigma","gamma","Sgen"
5,2.2567611512329,6.13768086671941e-05,0.556912524378308,0.405746092055286,2640.45572537186
1,3.06777114528008,8.43501321327384e-05,0.469492942816929,0.599460750167749,2230.55788652603
2,3.06386746180069,0.00019258256518582,0.994237187861654,0.599460750167749,126.422909109779
3,3.76597756236762,0.000139227126662562,0.757023898392985,0.599460750167749,1352.19708256549
4,3.37417016661041,7.51640427572368e-05,0.603703694680661,0.599460750167749,2490.12425311572
5,3.33376803620851,8.83843957975536e-05,0.546235703644006,0.599460750167749,2833.29293293069
1,3.5145402932119,6.44586636659021e-05,0.495667798961118,0.653478915490604,2422.28135978684
2,3.84626356986468,0.000289044883829549,0.766550336783955,0.653478915490604,30.8563033892775
3,4.06329141698853,0.000164995161490941,0.596273221458936,0.653478915490604,1254.09431530815
4,3.71875818813585,5.73360005069504e-05,0.49037832761212,0.653478915490604,4092.43424661205
5,3.79368318322911,8.08615392634059e-05,0.574780040551847,0.653478915490604,2183.4563030339
1,1.97871488798962,0.000106206290718204,0.582151790429933,0.287464167844702,1408.57233408694
2,1.8918273192732,0.000225700370228008,0.743290854373381,0.287464167844702,1131.17645848451
3,1.81893808667378,0.000120526916337654,0.659494107713893,0.287464167844702,1876.01570776118
4,2.65334108339605,0.000123232992819509,0.448036059191893,0.287464167844702,1331.3768224983
5,1.87475586795712,7.34380403341127e-05,0.653142221239008,0.287464167844702,2930.99521838991
1,2.54128132275342,0.000100409058525808,0.633990291407298,0.445395620545899,2162.18494210666
2,2.1734884205767,7.42266298470765e-05,0.642198489980458,0.445395620545899,725.852926853088
3,2.59705640452297,9.5124031326077e-05,0.737209669209152,0.445395620545899,2507.26754090025
