Return.Year,Conservation.Unit,Sub.Population,Tributary.Deme,WSP.2014.Data.Use.Categories,Total.Return,Total.Spawners,Natural.Returns
2020,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,720.7407407,720.7407407,720.7407407
1998,Middle_Fraser,Upper Middle Fraser,Chilko R,green,709.2186113,709.2186113,709.2186113
1999,Middle_Fraser,Upper Middle Fraser,Chilko R,green,344,344,344
2000,Middle_Fraser,Upper Middle Fraser,Chilko R,green,152,152,152
2001,Middle_Fraser,Upper Middle Fraser,Chilko R,green,669,669,669
2002,Middle_Fraser,Upper Middle Fraser,Chilko R,green,186,186,186
2003,Middle_Fraser,Upper Middle Fraser,Chilko R,green,540,540,540
2004,Middle_Fraser,Upper Middle Fraser,Chilko R,green,345,345,345
2005,Middle_Fraser,Upper Middle Fraser,Chilko R,green,366,366,366
2006,Middle_Fraser,Upper Middle Fraser,Chilko R,green,51.2,51.2,51.2
2007,Middle_Fraser,Upper Middle Fraser,Chilko R,green,864,864,864
2008,Middle_Fraser,Upper Middle Fraser,Chilko R,green,645,645,645
2009,Middle_Fraser,Upper Middle Fraser,Chilko R,green,414,414,414
2010,Middle_Fraser,Upper Middle Fraser,Chilko R,green,348,348,348
2011,Middle_Fraser,Upper Middle Fraser,Chilko R,green,168.2,168.2,168.2
2012,Middle_Fraser,Upper Middle Fraser,Chilko R,green,3240,3240,3240
2013,Middle_Fraser,Upper Middle Fraser,Chilko R,green,1578,1578,1578
2014,Middle_Fraser,Upper Middle Fraser,Chilko R,green,480,480,480
2015,Middle_Fraser,Upper Middle Fraser,Chilko R,green,156,156,156
2016,Middle_Fraser,Upper Middle Fraser,Chilko R,green,3849,3849,3849
2017,Middle_Fraser,Upper Middle Fraser,Chilko R,green,1056,1056,1056
2018,Middle_Fraser,Upper Middle Fraser,Chilko R,green,540,540,540
2019,Middle_Fraser,Upper Middle Fraser,Chilko R,green,753,753,753
2020,Middle_Fraser,Upper Middle Fraser,Chilko R,green,3246,3246,3246
1998,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,2.943388091,2.943388091,2.943388091
1999,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0.976062134,0.976062134,0.976062134
2000,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,2.360156056,2.360156056,2.360156056
2001,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,9,9,9
2002,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,2,2,2
2003,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,2,2,2
2004,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,3,3,3
2005,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,6,6,6
2006,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,1,1,1
2007,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
2008,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
2009,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
2010,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
2011,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,10,10,10
2012,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
2013,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
2014,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
2015,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
2016,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
2017,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
2018,Middle_Fraser,Upper Middle Fraser,Hazeltine Cr (Edney),yellow,0,0,0
1998,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,255,255,255
1999,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,170,170,170
2000,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,1914,1914,1914
2001,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,528,528,528
2002,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,429,429,429
2003,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,18,18,18
2004,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,678,678,678
2005,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,104,104,104
2006,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,40,40,40
2007,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,351,351,351
2008,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,27,27,27
2009,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,83,83,83
2010,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,812,812,812
2011,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,323,323,323
2012,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,106,106,106
2013,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,1596,1596,1596
2014,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,228,228,228
2015,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,13,13,13
2016,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,498,498,498
2017,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,20.20731803,20.20731803,20.20731803
2018,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,9,9,9
2019,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,36,36,36
2020,Middle_Fraser,Upper Middle Fraser,Horsefly R,green,17,17,17
1998,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,78.68657498,78.68657498,78.68657498
1999,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,26.09339438,26.09339438,26.09339438
2000,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,63.09483857,63.09483857,63.09483857
2001,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,135,135,135
2002,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,66,66,66
2003,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,60,60,60
2004,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,77,77,77
2005,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,9,9,9
2006,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,20,20,20
2007,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,108,108,108
2008,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,0,0,0
2009,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,2,2,2
2010,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,60,60,60
2011,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,14,14,14
2012,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,46,46,46
2013,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,294.3333333,294.3333333,294.3333333
2014,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,5,5,5
2015,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,11.66666667,11.66666667,11.66666667
2016,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,294.190047,294.190047,294.190047
2017,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,72.6,72.6,72.6
2018,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,39.0084459,39.0084459,39.0084459
2019,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,49,49,49
2020,Middle_Fraser,Upper Middle Fraser,Little Horsefly R,yellow,3,3,3
1998,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,790,790,790
1999,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,212,212,212
2000,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,223,223,223
2001,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,1989,1989,1989
2002,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,1453,1453,1453
2003,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,642,642,642
