"","z.value","Pr...z.2..","Mod","CU_ID","CU_Name","est_B","est_sigma","est_Smsy","est_Sgen","est_A","low_Sgen","up_Sgen","retroYr","BMmodel","LRPmodel","useGenMean","integratedModel"
"87",1.87146180764581,0.0612810988403939,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,NA,176750.956883556,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"88",1.22263305367011,0.221468322913606,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,NA,91013.502657699,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"89",1.766800395752,0.0772616624284877,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,NA,NA,3125.25952286586,NA,-341.747095168027,6592.26614089974,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"90",3.34833327884779,0.000812991796931422,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,NA,NA,8072.28029945077,NA,3347.04297410066,12797.5176248009,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"91",1.1944068203033,0.232318870217756,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,NA,NA,8321.54673507218,NA,-5333.96102282876,21977.0544929731,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"92",0.966179535485047,0.333954351232052,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,NA,NA,80698.3624488392,NA,-83007.0200299151,244403.744927593,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"93",0.766343206674411,0.443472116051435,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,NA,NA,43024.8944053612,NA,-67015.6100318836,153065.398842606,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"94",2.10058493830062,0.0356774173389862,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,NA,NA,NA,6.96426599469709,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"95",2.43416510793293,0.0149261848365275,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,NA,NA,NA,2.12897101636264,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"96",1.79848741317124,0.0720998015058294,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,NA,NA,NA,4.42456883200342,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"97",1.72248555066206,0.084981598063494,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,NA,NA,NA,2.65913128179134,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"98",1.55709801656513,0.119447215892463,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,NA,NA,NA,2.57075425596784,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"99",-15.6589581976663,0.000000000000000000000000000000000000000000000000000000288585782436034,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",0.0000364998129003228,NA,NA,NA,NA,NA,NA,1974,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"100",-8.17919066062742,0.000000000000000285756657812014,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",0.0000203628538119466,NA,NA,NA,NA,NA,NA,1974,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"101",-11.1769441993574,0.0000000000000000000000000000528795592602684,"SR_IndivRicker_NoSurv",2,"Loughborough",0.0000201296486816821,NA,NA,NA,NA,NA,NA,1974,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"102",-6.59784803490223,0.0000000000417168535387785,"SR_IndivRicker_NoSurv",3,"Georgia Strait",0.00000236899852222521,NA,NA,NA,NA,NA,NA,1974,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"103",-5.12620261742582,0.000000295644436205323,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",0.00000480102091321582,NA,NA,NA,NA,NA,NA,1974,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"104",-0.626282327409733,0.53112977588825,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,0.876054982816222,NA,NA,NA,NA,NA,1974,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"105",-1.36619278173958,0.171878462526376,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,0.749265946269032,NA,NA,NA,NA,NA,1974,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"106",0.51832665232096,0.604230380393124,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,1.11573856455652,NA,NA,NA,NA,NA,1974,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"107",-0.951425117303969,0.34138861490991,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,0.817891934351528,NA,NA,NA,NA,NA,1974,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"108",0.736007180573228,0.461726327901625,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,1.16825344225267,NA,NA,NA,NA,NA,1974,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
